Symbol,Name,Sector,Average Absolute Daily Beta Adjusted Return,Average Daily Beta Adjusted Return,Average Daily non-holding Beta Adjusted Return,Std Error of Daily Holding Period Beta Adjusted Return,Std Dev of Daily Holding Period Beta Adjusted Return,Average Daily Beta Adjusted Return of Study Period,Median Daily Beta Adjusted Return,P Value (Beta Adjusted),P Value of Absolute Returns (Beta Adjusted),Std Error of Daily Study Period Beta Adjusted Return,Std Dev of Daily Study Period Beta Adjusted Return,Average Percent Return,Average Absolute Daily Return,Average Daily Return,Average Daily non-holding Return,Trade Period Beta with Benchmark,Number of Trades,Cumulative Percent Return,Std Error of Daily Holding Period Return,Std Dev of Daily Holding Period Return,Event Sensitivity,Best Percent Return,Mean Absolute Percent Return,Average Daily Return of Study Period,Median Percent Return,Median Absolute Percent Return,Median Daily Return,Worst Percent Return,Number of Days Positive,Percent of Days Positive,Percent of Trades Positive,P Value ,P Value of Absolute Returns ,R with S&P 500,Risk Adjusted Sharpe Ratio,Sharpe Ratio,Std Error of Daily Study Period Return,Std Dev of Daily Study Period Return,Study Period Beta with Benchmark,Earliest Data Date,Latest Data Date
A,Agilent Technologies,Capital Goods,0.87%,0.06%,0.01%,0.18%,1.24%,0.02%,-0.01%,0.70,0.49,0.03%,1.24%,2.45%,1.49%,0.40%,0.02%,1.49,8,21.36%,0.30%,2.11%,0.79,15.41%,4.65%,0.03%,2.11%,3.52%,0.05%,-5.08%,24,50.00%,75.00%,0.42,0.37,0.73,0.11,0.44,0.05%,2.26%,1.19,11/18/1999,08/21/2015
AA,Alcoa Inc.,Capital Goods,1.01%,0.10%,-0.02%,0.21%,1.43%,-0.01%,-0.05%,0.85,0.16,0.03%,1.26%,3.60%,2.29%,0.59%,-0.04%,1.89,8,32.70%,0.43%,3.02%,0.99,15.73%,4.94%,-0.03%,2.35%,3.53%,0.45%,-5.00%,28,58.33%,87.50%,0.12,0.12,0.65,0.22,0.45,0.07%,3.11%,1.62,01/02/1990,08/21/2015
AAL,American Airlines Group,Consumer Discretionary,0.70%,-0.05%,0.10%,0.32%,0.80%,0.10%,-0.04%,0.85,0.16,0.10%,1.40%,-0.65%,1.47%,-0.11%,0.19%,N/A,1,-0.65%,0.63%,1.56%,0.33,-0.65%,0.66%,0.18%,-0.65%,0.66%,-0.93%,-0.65%,2,33.33%,0.00%,0.57,0.50,0.13,N/A,N/A,0.15%,2.16%,1.39,12/09/2013,08/21/2015
AAP,Advance Auto Parts Inc,Consumer Services,1.33%,-0.10%,0.09%,0.30%,2.04%,0.09%,-0.02%,0.72,0.10,0.05%,2.24%,0.81%,1.23%,0.13%,0.07%,0.77,8,6.65%,0.26%,1.81%,0.48,8.26%,3.25%,0.07%,0.82%,3.17%,0.12%,-5.23%,29,60.42%,62.50%,0.54,0.15,0.43,-0.17,0.17,0.05%,2.11%,0.79,11/29/2001,08/21/2015
AAPL,Apple Inc.,Technology,1.92%,-0.19%,0.13%,0.36%,2.52%,0.12%,-0.12%,0.16,0.00,0.04%,1.86%,0.44%,1.86%,0.07%,0.12%,0.66,8,3.60%,0.35%,2.46%,0.99,11.09%,6.18%,0.11%,0.94%,6.30%,-0.22%,-10.05%,22,45.83%,50.00%,0.47,0.05,0.27,-0.19,0.07,0.05%,2.23%,0.94,05/11/1987,08/21/2015
ABBV,AbbVie Inc,Health Care,0.76%,0.72%,0.02%,0.29%,1.02%,0.04%,0.19%,0.06,0.06,0.05%,1.12%,6.29%,1.12%,1.02%,0.10%,0.54,2,12.98%,0.34%,1.18%,0.48,7.13%,6.29%,0.12%,6.29%,6.29%,0.61%,5.45%,11,91.67%,100.00%,0.05,0.27,0.05,3.15,3.98,0.07%,1.55%,1.18,12/10/2012,08/21/2015
ABC,AmerisourceBergen Corporation,Health Care,1.30%,0.19%,0.10%,0.23%,1.61%,0.10%,0.04%,0.69,0.40,0.05%,2.04%,1.77%,0.96%,0.29%,0.06%,0.64,8,15.11%,0.17%,1.19%,0.43,4.99%,2.79%,0.07%,2.31%,2.56%,0.29%,-1.56%,25,52.08%,62.50%,0.31,0.44,0.55,0.01,0.57,0.03%,1.55%,0.61,05/28/1996,08/21/2015
ABT,Abbott Laboratories,Health Care,1.24%,0.39%,0.01%,0.23%,1.58%,0.02%,0.33%,0.25,0.12,0.08%,3.32%,1.94%,0.75%,0.32%,0.00%,0.57,8,16.59%,0.14%,0.95%,0.33,5.08%,2.28%,0.00%,2.36%,2.36%,0.30%,-0.79%,33,68.75%,75.00%,0.07,0.11,0.61,0.05,0.78,0.05%,2.08%,0.47,01/02/1990,08/21/2015
ACE,Ace Limited,Finance,0.64%,-0.11%,0.03%,0.11%,0.79%,0.03%,-0.17%,0.31,0.30,0.03%,1.41%,1.12%,0.96%,0.19%,0.03%,0.99,8,9.35%,0.19%,1.30%,0.28,6.12%,3.17%,0.03%,0.63%,2.83%,0.11%,-4.91%,26,54.17%,50.00%,0.57,0.15,0.78,-0.14,0.33,0.05%,2.09%,1.04,01/03/1994,08/21/2015
ACN,Accenture Plc.,Miscellaneous,1.07%,0.21%,0.05%,0.21%,1.44%,0.05%,0.05%,0.50,0.39,0.04%,1.66%,2.40%,1.09%,0.40%,0.04%,0.79,8,20.91%,0.20%,1.41%,0.50,10.46%,3.12%,0.05%,1.61%,2.20%,0.38%,-2.01%,30,62.50%,75.00%,0.11,0.34,0.57,0.14,0.65,0.04%,1.77%,0.80,07/19/2001,08/21/2015
